anonymous,author_shopid,author_username,cat_id,cmtid,comment,count_rating_with_image,count_with_context,ctime,editable,item_id,mtime,orderid,product_title,rating,rating_count0,rating_count1,rating_count2,rating_count3,rating_count4,rating_count5,rating_star,shop_id,userid
FALSE,16191982,rrp0811,2678,2361588821,"Ini paket pertamaku beli disini.
Cepat
Tanggap
Akurat
Tepat
Bagus
Oke
Semoga aja tanpa ada masalah ditengah jalan.

JsjsjjdjdhshwjshzvzvvzhajaoaozoozooaooeorodozbbzbzbajzjbzbzbzbzbBzbxbnakzlzkbdbskzkxbsboazkebbdjawbdboXbjslcksnabbzbjajzbsbznskLakzbxbzbajsjsjkxjxxbsbebbxbxbxbsbwjaoaowopspxllLNcbsbjwj",284,680,1589011931,1,4822872755,1589011931,,NETFLIX PREMIUM 1 BULAN 4K ANTI ON,1,1316,2,4,1,44,3584,5,134248812,16193318
,,,,,,,,,,,,,,,,,,,,,,,
TRUE,1898343,c*****s,2678,2350178125,"baguss,jalan semua,cuma vpn nord di laptop gabisa pake server indonesia,sellernya fast respond tapi agak cuek,saya jadi takut buat nanya2,tapi overall bagus,recommended ",284,680,1588842955,1,4822872755,1588842955,,NETFLIX PREMIUM 1 BULAN 4K ANTI ON,1,1316,2,4,1,44,3584,5,134248812,1899725
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,61258905,meisha2505,2678,2343542554,"Mantap lancar kak. Beli pas maubtengah malem langsung dilayanin dong, segercep itu. Pokoknya jangan ragu buat yg mau beli netflix disini aja, lebih murah dibanding yang lain. Makasih yaaaa.",284,680,1588747940,1,4822872755,1588747940,,NETFLIX PREMIUM 1 BULAN 4K ANTI ON,1,1316,2,4,1,44,3584,5,134248812,61260347
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,66000600,toserbaaurora86,2902,2440284257,super recommended seller. dari order sampai dapat akun jg ga lama. pasti bakal rekomen ke orang2 sih ini. MANTAB 👍,922,2182,1590257623,2,2767211185,1590257675,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1,7274,89,15,44,88,9088,5,15168157,66002056
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,80294228,icanursarah,2902,2327971512,"Hp sampai dengan selamat, berfungsi dengan baik, tiada kendala Alhamdulillah, semoga awet dan mantap jiwaa",922,2182,1588431497,1,2767211185,1588431497,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1,7274,89,15,44,88,9088,5,15168157,80295702
,,,,,,,,,,,,,,,,,,,,,,,
TRUE,140936473,c*****r,3404,2415094026,"awalnya agak ragu, karena takut ditipu. tp bisa dilihat tokonya sendiri trusted di shopee dan juga cepat tanggap. waktu ada masalah dengan akunnya langsung dibantu. saya pun bisa enjoy menggunakan netflix. terima kasih kak. tolong dibantu ya kalau nanti mungkin ada masalah.",842,1156,1589854239,1,4424230615,1589854239,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,140938297
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,71716266,sandhihs,3404,2439828364,Lancar jaya netflixnya.. seller juga kasih penjelasan yg rinci dan pasti akan bantu kalo nanti ada kendala. Semoga sih gak ada kendala selama pemakaian. thanks min,842,1156,1590244243,1,4424230615,1590244243,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,71717727
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,44539509,sfshania,3404,2428244073,"Kerennn langsung bisaaa, harganya juga terjangkau dan responnya cepet👍🏼",842,1156,1590048210,1,4424230615,1590048210,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,44540895
,,,,,,,,,,,,,,,,,,,,,,,
TRUE,10892742,a*****1,3404,2349860344,"Makasih ya kak. Akun netflix 1 tahun privatenya udah jadi. Prosesnya sangat cepat, sellernga juga ramah. Semoga lancar sampe setahun.",842,1156,1588839931,1,4424230615,1588839931,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,10894042
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,25198157,novianw18,2678,2458556062,Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..Terimakasih pesanan diterima..,284,680,1590704721,1,4822872755,1590704721,,NETFLIX PREMIUM 1 BULAN 4K ANTI ON,1,1316,2,4,1,44,3584,5,134248812,25199493
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,76797648,nsrnkamila,2678,2410323537,"Repurchase disini soalnya nyaman banget! Adminnya fastrespons, habis itu akunnya nggak pernah ada kendala sama sekali. Lancar jaya selama sebulan penuh pemakaian. Luv luv pokoknya <3",284,680,1589780290,1,4822872755,1589780290,,NETFLIX PREMIUM 1 BULAN 4K ANTI ON,1,1316,2,4,1,44,3584,5,134248812,76799119
,,,,,,,,,,,,,,,,,,,,,,,
